"text","true_label","predicted_label"
"Unfortunately, our squash court reservations are currently fully booked for the next two weeks. However, you can try checking back with us next month when the summer season ends and things tend to slow down a bit.","neutral","somewhat polite"
"I'd be happy to help you with that! It seems you're having some issues with your water sports membership. Our current promotion is running until the end of the summer season, and I can offer you a 10% discount on your next purchase if you sign up for our newsletter.","neutral","polite"
"I'm sorry to hear that our recent menu changes didn't sit well with you. If you'd like to speak with a manager, I can arrange that for you.","polite","somewhat polite"
"Your TV's warranty has expired, but we can offer you a maintenance plan for a small fee. It's a great way to keep your device running smoothly and ensure you're covered in case anything goes wrong.","neutral","polite"
"We're currently offering a promotion for tennis racket maintenance services, which includes a free string replacement with the purchase of a new racket. However, this deal is only available until the end of the season, so it's best to act quickly if you're interested.","neutral","polite"
"Certainly, I can understand why you might have concerns about the cost. Here's a bit more information: our professional development courses come with a fee to cover the cost of top-notch instructors and materials. I hope this clarifies things for you.","polite","somewhat polite"
"I understand you're having some issues with your train ticket. Unfortunately, it seems there's a fee associated with the change. If you'd like, I can provide more information on the fees and what you can do to avoid them in the future.","somewhat polite","polite"
"I'm happy to help you understand the extra charge on your recent order. It appears to be a small processing fee for our online payment system, but I can provide more information if you'd like.","somewhat polite","polite"
"I'd be happy to help you with your luxury travel booking. However, I do want to inform you that there's an additional fee associated with the upgrade, which is standard across all our packages. If you'd like to proceed, I can provide you with more information on the details.","somewhat polite","polite"
"I understand your concern about the loan interest rate. Our rates are competitive, and I'd be happy to explain the calculation in more detail. Can you please provide me with your loan details so I can look into this further for you?","somewhat polite","polite"
"The performance of our latest production was sold out months in advance, but I can offer you a refund or a voucher for our next show if you'd like to reschedule.","neutral","somewhat polite"
"Unfortunately, our winter league registration is now closed, but you can still sign up for our spring season, which starts in a few months.","somewhat polite","neutral"
"I appreciate your feedback on our museum's winter hours. However, I'd like to clarify that our extended hours only apply during peak season, which typically runs from June to August. If you're planning a visit during this time, I recommend checking our website for the most up-to-date information.","somewhat polite","polite"
"We offer various training programs to help you develop your creative skills, including our popular graphic design course. Our courses are usually priced between $200-$500, but we do offer a 10% discount for students and seniors. However, it seems that you've been charged an additional $50 fee. I can look into this further and see what might have caused it.","somewhat polite","neutral"
"I'm not sure why our membership fees are so high this time of year, but I can check on some promotions for you. We usually have discounts for students and seniors during the summer months.","neutral","somewhat polite"
"Certainly, I understand that you may have some questions about the workshop fee. It covers the cost of materials and instructor time. I'm here to help if you'd like more information.","polite","somewhat polite"
"I'm afraid we're currently out of stock on that particular sofa model, but we do have a similar one available in a different fabric. Would you like me to hold one for you?","somewhat polite","neutral"
"I'm sorry to hear that our guided tour was cancelled due to inclement weather. We're offering a complimentary reschedule for the next available date, and I can provide more details on the new schedule if you'd like.","somewhat polite","polite"
"We're experiencing high demand during peak summer months, so it's taking a bit longer to process your request. I'll check on the status of your booking and get back to you within the next 24 hours.","somewhat polite","neutral"
"I apologize for the inconvenience, but the fee you're seeing is due to a one-time processing charge. If you'd like to know more about it, I can provide additional information.","somewhat polite","polite"
"I understand your concern about the unexpected fee. Our system occasionally flags certain transactions for review, which may result in a small additional charge. If you'd like, I can help you review the transaction and see if there's anything we can do to waive the fee.","polite","somewhat polite"
"Sorry to hear that your team's membership renewal was denied. Could you please check if your payment was processed successfully? If not, I can assist you in resolving the issue.","somewhat polite","polite"
"Certainly, I can assist you with that. For our integration training in professional development, there may be a small fee to cover resources and materials. I can provide more information if you'd like.","somewhat polite","polite"
"Unfortunately, our current loan options may not be the best fit for your financial situation. However, I can offer some alternative solutions that might be more suitable for you, and I'd be happy to walk you through the application process.","polite","somewhat polite"
"I'd be happy to help you with that. It looks like the issue might be with the shipping carrier. Let me see what I can do to resolve it for you.","polite","somewhat polite"
"I'm sorry to hear you're experiencing issues with our economy flight prices. We do offer some budget-friendly options during off-peak seasons, but they tend to fill up quickly. Would you like me to check availability for you?","neutral","somewhat polite"
"Unfortunately, the fee you're seeing is due to our annual account maintenance charges, which are standard across all accounts. I can provide you with more information on this if you'd like.","polite","somewhat polite"
"Unfortunately, our combat sports classes have a 24-hour cancellation policy. If you're unable to attend, please let us know as soon as possible to avoid any additional fees.","somewhat polite","neutral"
"I'd be happy to help you with your query about the sports equipment. Since it's nearing the end of the season, we're having a clearance sale, and I think you might find some great deals on the items you're looking for. Would you like me to check availability and pricing for you?","somewhat polite","polite"
"I appreciate your concern about the toy not being in stock. Unfortunately, it's a seasonal item and we've sold out for the summer. However, we do have some similar options available that might interest you. Would you like me to recommend some alternatives?","polite","somewhat polite"
"I'm happy to help you improve your time management skills. It seems like you're struggling to prioritize tasks effectively. I'd be happy to provide you with some tips and resources to help you stay on track.","somewhat polite","polite"
"I apologize for the delay in processing your order, but our team is working diligently to ensure it's prepared and ready for pickup by the end of the day.","polite","somewhat polite"
"I'm happy to help you with your concern about the upcoming boxing match. However, please note that all ticket sales are final and non-refundable, unless the event is cancelled or rescheduled.","somewhat polite","polite"
"I'm sorry to hear that our restaurant's menu doesn't have any gluten-free options that suit your taste. Can I suggest some nearby restaurants that might have better options for you?","somewhat polite","neutral"
"I'm sorry to hear that our menu options aren't meeting your expectations. We do have some seasonal specials that are available until the end of summer, and I can let you know what vegetarian options we have. Would you like me to list them out for you?","neutral","somewhat polite"
"I'm happy to help you with your query about the new Lego set. Unfortunately, it's currently out of stock, but I can suggest some similar products that are available. Would you like me to recommend a few options?","somewhat polite","polite"
"I'm afraid the dolphin show is cancelled due to unforeseen circumstances. However, we're offering a complimentary ticket to our sea lion exhibit instead. Would you like to take advantage of this offer?","somewhat polite","neutral"
"During the winter season, it's not uncommon for there to be some delays in travel due to inclement weather. I assure you we're doing our best to get you to your destination as quickly and comfortably as possible.","somewhat polite","polite"
"I'd be happy to help you with that. It seems like our fries were cooked for a bit longer than usual, which might have caused them to be a bit burnt. I can offer you a discount on your next purchase if you'd like to give us another chance.","polite","somewhat polite"
"I appreciate your concern about the unexpected fee on your account. It's likely due to our monthly subscription charge, which is clearly outlined in our terms and conditions. If you have any questions or need further clarification, I'd be happy to help.","somewhat polite","polite"
"I'm afraid our courts are closed for renovations until next month, but we're offering a special promotion for membership sign-ups before the reopening. Would you like to take advantage of this opportunity?","somewhat polite","neutral"
"Certainly! I understand you have a question about a charge related to electronics or appliances from our stores. The fee is most likely one of our standard service or maintenance charges. I can give you more information if you'd like.","neutral","polite"
"Certainly, I understand you have questions about the additional charge for the dessert item. This fee covers the cost of premium ingredients and extra preparation time required to create these delectable treats. I hope this clarifies the situation for you.","polite","somewhat polite"
"I appreciate your enthusiasm for our seasonal specials, but our summer menu is already live, so you won't be able to order the winter pizza you're looking for. Would you like me to recommend some of our popular summer options instead?","somewhat polite","polite"
"I'd be happy to help you with your buffet experience! It seems that you're having some trouble with the pricing. Our standard buffet rate is $25 per person, but we do have promotions and discounts available depending on the day and time of your visit. Can you please tell me more about your reservation and what you're looking for?","somewhat polite","polite"
"I understand you're disappointed with the recent cancellation of our boxing match, but our policy clearly states that refunds are only issued for events that are cancelled due to circumstances beyond our control. Let me see what I can do to help you with a possible reschedule or refund.","polite","somewhat polite"
"I'm glad you're interested in our upcoming workshop on time management. However, I do want to mention that the price you're seeing is due to an additional fee for the workshop materials. If you're still interested, I can provide more information on the package details.","polite","somewhat polite"
"Unfortunately, your team's membership renewal was declined due to an unpaid balance. Please check your account status and settle the outstanding amount to reinstate your membership.","polite","neutral"
"I understand you're concerned about the loan processing time, and I want to assure you that we're working diligently to finalize your application as soon as possible. Please allow a few more days for our team to review the documents, and we'll be in touch with an update.","polite","somewhat polite"
"I'm happy to help you with the new toy purchase. Unfortunately, it seems like the item you're looking for is currently out of stock. However, I can offer to put you on a waiting list or suggest a similar product that's available for purchase.","somewhat polite","polite"
"Unfortunately, it seems that our integration training sessions are fully booked for the next two weeks. However, I can offer you an alternative date or provide more information on our upcoming webinars if you're interested.","somewhat polite","neutral"
"I apologize for the inconvenience with your ferry booking, but it seems that the price you're seeing is due to a seasonal surge in demand. If you're willing to travel during off-peak hours, I can try to find a more affordable option for you.","somewhat polite","polite"
"I understand that your luggage didn't arrive on time for your Caribbean cruise, and I'm happy to help resolve the issue. Can you please provide your booking reference number so I can look into this further and get it resolved for you as soon as possible?","somewhat polite","polite"
"I'm afraid our summer reading program has already reached its capacity, but I can suggest some alternative events happening in the coming months.","somewhat polite","neutral"
"I'm sorry to hear that our skincare product didn't meet your expectations. However, as per our return policy, all items must be in their original packaging with a valid receipt to be eligible for a refund or exchange.","somewhat polite","neutral"
"I'm sorry to hear that you're having trouble with our online course materials. Unfortunately, our team is currently experiencing some technical difficulties, and we're working to resolve the issue as soon as possible.","neutral","somewhat polite"
"I appreciate your enthusiasm for our new training program, but I want to clarify that the additional cost is actually for the integration with our existing software. If you're interested in learning more about how this integration can benefit your team, I'd be happy to schedule a follow-up call to discuss the details.","polite","somewhat polite"
"Unfortunately, our insurance policy doesn't cover pre-existing conditions, but I can help you explore other options that might be a better fit for your needs.","neutral","somewhat polite"
"I understand your concern about the loan application process. Please note that our underwriting team reviews each application carefully, and we may request additional information to verify your income and credit history. If approved, you'll receive a detailed breakdown of the terms and conditions, including the interest rate and repayment schedule.","somewhat polite","polite"
"Certainly, I can understand why you're concerned about the additional fees. These charges are typically associated with our credit card's annual fees. However, I would be happy to discuss this further if you have any questions or concerns.","neutral","somewhat polite"
"Unfortunately, our sea lion exhibit is closed for renovations until next month, but our penguin enclosure is still open for visitors. If you're planning to visit, I recommend checking our website for the most up-to-date information on exhibit hours and availability.","somewhat polite","neutral"
"I'm sorry to hear that our couch didn't match the online description. We can offer a store credit or exchange it for a different piece, but you'll need to bring in the receipt and the item itself within the next 14 days.","somewhat polite","neutral"
"Unfortunately, our current promotion has ended, but we're offering a special discount for new members who sign up within the next two weeks. Would you like me to provide more information on the details?","neutral","somewhat polite"
"I'm afraid our gluten-free options are limited this time of year due to seasonal ingredient availability. However, we can offer you a vegan alternative that should suit your dietary needs.","somewhat polite","neutral"
"I'm sorry to hear that our winter gear wasn't what you were expecting. We do offer a 30-day return policy, but please note that items must be in their original condition with tags attached. If you'd like to initiate a return, I can guide you through the process.","polite","somewhat polite"
"I'm sorry to hear that our flight prices are higher than expected for your travel dates. We do offer budget-friendly options, but they tend to sell out quickly during peak season.","neutral","somewhat polite"
"I'm happy to help you with your question about our winter sports packages. If you're experiencing any issues with your booking, please let me know and I'll do my best to assist you. Additionally, I can provide information on our cancellation policies and fees if needed.","neutral","polite"
"Unfortunately, our summer menu doesn't include any gluten-free options for our signature dish, but we can recommend some other seasonal choices that might suit your needs.","somewhat polite","neutral"
"I'm not sure why our membership fees are so high this season, but I suppose it's to be expected when you're paying for top-notch facilities and expert coaching. Can I interest you in a payment plan to make it more manageable?","neutral","somewhat polite"
"We're experiencing high demand for our seasonal summer menu, and it might be taking a little longer to fulfill your order. I can provide you with an estimated delivery time if you'd like.","polite","neutral"
"I'm sorry to hear that you're experiencing issues with your team's membership renewal. Unfortunately, our prices do adjust seasonally, and it seems like you're being charged the higher rate for the summer season. If you'd like, I can look into possible discounts or promotions that might be available to you.","somewhat polite","polite"
"I'm sorry to hear you're having trouble with your ski membership renewal. However, our records indicate that the payment was successfully processed last month. If you're experiencing any issues with access, I recommend checking our website for updates on winter season passes.","somewhat polite","polite"
"Of course, I understand that you may have some concerns about the cost of the theater tickets. Our pricing is determined by the current demand and the seating selection. We do offer discounts for students and seniors during certain times of the year. I hope this helps explain the fee you see.","somewhat polite","polite"
"I'm happy to help you with your query regarding soft skills training. It seems that the course you're interested in is already full, but I can offer you a similar alternative that might suit your needs. Would you like me to send you more information about it?","somewhat polite","polite"
"Certainly, I can help you with that. Our regional menu often features seasonal dishes, could you please specify which particular dish or information you require assistance with?","polite","neutral"
"I'm happy to help you with your bootcamp concerns. Our policy states that all attendees must provide their own laptops, but we do offer a limited number of rentals for an additional fee. If you're interested, I can provide more information on the rental process.","polite","somewhat polite"
"I appreciate your enthusiasm to develop your public speaking skills, but it seems like our course registration deadline has passed. If you're interested in future sessions, I can add you to our waitlist and notify you when new dates become available.","somewhat polite","polite"
"Sorry to hear your tennis racket didn't meet your expectations. I can offer a replacement or refund, whichever you prefer, as long as it's within 30 days of purchase and you have the receipt.","polite","somewhat polite"
